id,source,destination,data_rates,TR
0,0,5,45,75.626
1,0,9,41,75.862
2,0,16,54,75.207
3,0,18,58,75.057
4,1,21,75,74.582
5,2,6,73,74.628
6,2,8,44,75.682
7,3,18,91,74.283
8,3,20,89,74.315
9,4,8,73,74.628
10,4,8,61,74.957
11,4,14,64,74.86399999999999
12,5,13,87,74.34899999999999
13,6,10,54,75.207
14,6,17,55,75.168
15,6,18,85,74.383
16,7,0,87,74.34899999999999
17,7,2,59,75.023
18,7,17,42,75.79899999999999
19,7,20,47,75.521
20,9,22,41,75.862
21,10,0,61,74.957
22,11,20,63,74.89399999999999
23,12,2,50,75.377
24,12,6,49,75.423
25,12,8,95,74.223
26,12,9,91,74.283
27,12,10,97,74.194
28,12,14,91,74.283
29,12,19,59,75.023
30,12,22,52,75.289
31,13,10,90,74.29899999999999
32,14,17,41,75.862
33,15,19,61,74.957
34,16,1,48,75.471
35,16,12,63,74.89399999999999
36,17,2,80,74.477
37,18,21,97,74.194
38,19,8,65,74.835
39,19,11,61,74.957
40,19,23,42,75.79899999999999
41,20,0,55,75.168
42,20,22,85,74.383
43,21,1,45,75.626
44,21,3,87,74.34899999999999
45,22,0,91,74.283
46,22,2,71,74.676
47,22,8,80,74.477
48,22,12,66,74.807
49,23,3,46,75.57300000000001
