id,source,destination,data_rates,TR
0,0,19,93,74.252
1,1,21,58,75.057
2,2,7,85,74.383
3,2,17,86,74.366
4,3,1,69,74.726
5,3,6,83,74.42
6,3,8,55,75.168
7,3,13,87,74.34899999999999
8,3,18,50,75.377
9,3,20,76,74.56
10,4,17,98,74.181
11,4,18,78,74.518
12,5,7,83,74.42
13,5,12,62,74.925
14,5,17,43,75.73899999999999
15,6,0,62,74.925
16,6,1,58,75.057
17,6,4,97,74.194
18,6,5,51,75.332
19,7,9,66,74.807
20,7,19,44,75.682
21,7,21,83,74.42
22,7,23,52,75.289
23,8,0,78,74.518
24,8,12,41,75.862
25,9,0,94,74.238
26,9,22,68,74.752
27,9,23,86,74.366
28,10,13,42,75.79899999999999
29,11,5,41,75.862
30,11,21,92,74.268
31,11,23,88,74.332
32,12,23,98,74.181
33,13,0,77,74.539
34,13,22,97,74.194
35,14,13,64,74.86399999999999
36,16,0,89,74.315
37,16,20,44,75.682
38,17,6,47,75.521
39,17,12,75,74.582
40,17,21,77,74.539
41,18,8,87,74.34899999999999
42,19,9,48,75.471
43,20,16,94,74.238
44,20,23,65,74.835
45,21,15,48,75.471
46,22,9,86,74.366
47,23,2,43,75.73899999999999
48,23,3,77,74.539
49,23,8,87,74.34899999999999
