id,source,destination,data_rates,TR
0,0,8,86,74.366
1,0,18,88,74.332
2,0,21,43,75.73899999999999
3,1,0,56,75.13
4,1,3,41,75.862
5,1,10,93,74.252
6,1,16,96,74.209
7,3,8,65,74.835
8,4,3,63,74.89399999999999
9,6,13,77,74.539
10,6,16,78,74.518
11,7,11,66,74.807
12,8,9,80,74.477
13,8,17,62,74.925
14,8,20,99,74.167
15,8,21,83,74.42
16,9,8,55,75.168
17,9,14,77,74.539
18,9,22,92,74.268
19,11,5,48,75.471
20,11,7,85,74.383
21,11,8,44,75.682
22,11,19,43,75.73899999999999
23,11,20,51,75.332
24,12,14,54,75.207
25,12,18,74,74.605
26,13,8,68,74.752
27,13,8,57,75.093
28,13,19,91,74.283
29,13,22,92,74.268
30,13,23,43,75.73899999999999
31,14,18,67,74.779
32,15,5,91,74.283
33,15,12,54,75.207
34,15,21,74,74.605
35,16,17,56,75.13
36,17,10,85,74.383
37,17,16,88,74.332
38,18,3,74,74.605
39,18,5,45,75.626
40,18,22,94,74.238
41,18,23,71,74.676
42,20,1,92,74.268
43,20,21,94,74.238
44,21,3,54,75.207
45,21,5,63,74.89399999999999
46,21,12,66,74.807
47,21,13,94,74.238
48,22,10,79,74.497
49,23,9,70,74.70100000000001
