id,source,destination,data_rates,TR
0,0,19,69,37.41621552662307
1,1,21,83,37.26278013980199
2,2,0,55,37.63740016232012
3,2,7,87,37.227191303872864
4,2,17,50,37.74220895753981
5,3,1,76,37.333149136404685
6,3,6,98,37.1430663713911
7,3,8,78,37.31188354017956
8,3,13,83,37.26278013980199
9,3,18,62,37.51579094120173
10,3,20,43,37.923559769910796
11,4,17,62,37.51579094120173
12,4,18,58,37.582131622132614
13,5,7,97,37.149991772318295
14,5,12,51,37.719825426798955
15,5,17,66,37.45659545688316
16,6,0,44,37.89464724478612
17,6,1,83,37.26278013980199
18,6,4,52,37.69818875730294
19,6,5,78,37.31188354017956
20,7,9,41,37.98495467139333
21,7,19,94,37.171575521554416
22,7,21,68,37.42932324357242
23,7,23,86,37.23580682328201
24,8,0,42,37.95363786309809
25,8,12,41,37.98495467139333
26,9,0,92,37.18667783981465
27,9,23,88,37.218753825231495
28,10,13,98,37.1430663713911
29,11,5,77,37.32239214361373
30,11,21,97,37.149991772318295
31,11,23,64,37.48537481325325
32,12,23,89,37.2104888985585
33,13,0,44,37.89464724478612
34,13,22,47,37.81425417831495
35,14,13,75,37.34416348834902
36,16,0,77,37.32239214361373
37,16,20,87,37.227191303872864
38,17,6,48,37.78937895353953
39,17,12,94,37.171575521554416
40,17,21,65,37.47078897704576
41,18,8,48,37.78937895353953
42,19,9,86,37.23580682328201
43,20,16,43,37.923559769910796
44,20,23,77,37.32239214361373
45,21,15,87,37.227191303872864
46,22,9,69,37.41621552662307
47,23,2,44,37.89464724478612
48,23,3,71,37.39098987287112
49,23,8,65,37.47078897704576
