id,source,destination,data_rates,TR
0,0,7,41,75.862
1,0,16,66,74.807
2,1,0,75,74.582
3,1,2,43,75.73899999999999
4,1,8,93,74.252
5,1,16,75,74.582
6,2,8,92,74.268
7,3,5,64,74.86399999999999
8,3,11,96,74.209
9,3,13,52,75.289
10,3,18,87,74.34899999999999
11,4,1,62,74.925
12,5,15,80,74.477
13,5,17,84,74.40100000000001
14,7,8,80,74.477
15,7,21,62,74.925
16,8,6,66,74.807
17,8,22,46,75.57300000000001
18,9,12,59,75.023
19,10,6,55,75.168
20,10,15,83,74.42
21,11,10,78,74.518
22,11,14,46,75.57300000000001
23,11,19,90,74.29899999999999
24,12,3,60,74.98899999999999
25,12,18,72,74.652
26,12,22,49,75.423
27,13,4,52,75.289
28,13,7,64,74.86399999999999
29,14,17,51,75.332
30,15,8,67,74.779
31,15,9,75,74.582
32,16,7,76,74.56
33,16,21,99,74.167
34,17,7,69,74.726
35,17,9,53,75.247
36,17,12,77,74.539
37,18,1,90,74.29899999999999
38,18,17,94,74.238
39,18,20,75,74.582
40,19,1,64,74.86399999999999
41,19,5,51,75.332
42,20,9,76,74.56
43,20,15,62,74.925
44,20,19,59,75.023
45,22,16,80,74.477
46,22,20,95,74.223
47,23,4,80,74.477
48,23,18,62,74.925
49,23,20,91,74.283
