id,source,destination,data_rates,TR
0,0,11,63,74.89399999999999
1,1,3,49,75.423
2,1,8,79,74.497
3,1,14,87,74.34899999999999
4,1,19,84,74.40100000000001
5,2,1,63,74.89399999999999
6,2,4,83,74.42
7,2,11,52,75.289
8,2,12,80,74.477
9,2,12,95,74.223
10,2,16,57,75.093
11,3,14,83,74.42
12,4,1,92,74.268
13,4,3,66,74.807
14,5,1,55,75.168
15,5,21,65,74.835
16,5,22,95,74.223
17,6,2,74,74.605
18,6,20,54,75.207
19,7,9,99,74.167
20,7,11,49,75.423
21,7,13,62,74.925
22,7,18,51,75.332
23,7,19,94,74.238
24,8,13,90,74.29899999999999
25,8,13,56,75.13
26,9,11,71,74.676
27,9,20,68,74.752
28,10,2,81,74.458
29,10,9,68,74.752
30,10,12,53,75.247
31,11,22,83,74.42
32,12,10,56,75.13
33,12,20,64,74.86399999999999
34,13,7,61,74.957
35,13,8,72,74.652
36,14,3,78,74.518
37,15,8,50,75.377
38,15,21,67,74.779
39,16,0,48,75.471
40,16,5,93,74.252
41,17,14,46,75.57300000000001
42,17,15,51,75.332
43,19,7,48,75.471
44,20,0,91,74.283
45,20,3,62,74.925
46,20,12,87,74.34899999999999
47,21,6,85,74.383
48,22,19,43,75.73899999999999
49,23,9,78,74.518
