id,source,destination,data_rates,TR
0,0,7,61,74.957
1,0,19,52,75.289
2,0,23,90,74.29899999999999
3,1,3,74,74.605
4,2,7,67,74.779
5,2,15,87,74.34899999999999
6,2,20,55,75.168
7,3,2,50,75.377
8,3,10,56,75.13
9,3,12,74,74.605
10,4,8,62,74.925
11,4,15,53,75.247
12,6,8,74,74.605
13,7,1,48,75.471
14,7,8,92,74.268
15,7,11,84,74.40100000000001
16,7,14,82,74.438
17,8,12,41,75.862
18,10,3,95,74.223
19,10,4,69,74.726
20,10,5,50,75.377
21,11,14,84,74.40100000000001
22,12,11,53,75.247
23,12,20,94,74.238
24,13,6,91,74.283
25,13,15,99,74.167
26,15,13,98,74.181
27,16,5,98,74.181
28,17,3,40,75.92699999999999
29,17,8,51,75.332
30,17,9,40,75.92699999999999
31,17,14,76,74.56
32,17,21,71,74.676
33,18,8,59,75.023
34,18,15,51,75.332
35,20,2,87,74.34899999999999
36,20,12,75,74.582
37,20,15,58,75.057
38,20,17,55,75.168
39,20,21,82,74.438
40,21,22,74,74.605
41,22,2,55,75.168
42,22,3,66,74.807
43,22,5,71,74.676
44,22,15,58,75.057
45,22,21,74,74.605
46,23,16,65,74.835
47,23,17,52,75.289
48,23,19,76,74.56
49,23,20,73,74.628
