,id,source,destination,data_rates,TR
0,0,5,10,66,74.807
1,1,1,2,84,74.40100000000001
2,2,6,7,53,75.247
3,3,5,7,74,74.605
4,4,0,4,53,75.247
5,5,7,10,52,75.289
6,6,11,13,75,74.582
7,7,3,7,60,74.98899999999999
8,8,2,9,37,76.14
9,9,0,5,46,75.57300000000001
10,10,1,9,98,74.181
11,11,4,11,79,74.497
12,12,4,13,76,74.56
13,13,1,11,53,75.247
14,14,5,10,31,76.667
15,15,0,6,70,74.70100000000001
16,16,10,11,32,76.568
17,17,0,9,48,75.471
18,18,2,8,43,75.73899999999999
19,19,5,10,61,74.957
20,20,3,13,84,74.40100000000001
21,21,4,7,74,74.605
22,22,2,12,52,75.289
23,23,6,13,50,75.377
24,24,2,3,35,76.29899999999999
25,25,5,10,42,75.79899999999999
26,26,9,12,81,74.458
27,27,2,8,36,76.218
28,28,7,12,95,74.223
29,29,7,9,60,74.98899999999999
30,30,0,12,35,76.29899999999999
31,31,1,3,70,74.70100000000001
32,32,3,5,89,74.315
33,33,5,13,54,75.207
34,34,5,10,85,74.383
35,35,5,12,80,74.477
36,36,0,1,71,74.676
37,37,0,12,56,75.13
38,38,6,13,57,75.093
39,39,8,9,60,74.98899999999999
40,40,6,11,60,74.98899999999999
41,41,10,11,45,75.626
42,42,9,12,65,74.835
43,43,1,9,32,76.568
44,44,4,5,70,74.70100000000001
45,45,7,9,33,76.47399999999999
46,46,4,6,91,74.283
47,47,5,7,91,74.283
48,48,4,9,54,75.207
49,49,6,10,99,74.167
50,50,0,6,97,74.194
51,51,3,12,100,74.154
52,52,1,9,41,75.862
53,53,2,8,30,76.771
54,54,4,9,47,75.521
55,55,6,11,54,75.207
56,56,3,5,46,75.57300000000001
57,57,4,5,83,74.42
58,58,0,12,46,75.57300000000001
59,59,1,8,61,74.957
60,60,2,4,48,75.471
61,61,3,8,54,75.207
62,62,1,10,94,74.238
63,63,1,12,30,76.771
64,64,9,10,39,75.995
65,65,4,12,57,75.093
66,66,10,11,89,74.315
67,67,5,7,45,75.626
68,68,1,11,96,74.209
69,69,0,10,98,74.181
70,70,4,8,56,75.13
71,71,3,8,99,74.167
72,72,5,13,38,76.066
73,73,6,13,84,74.40100000000001
74,74,3,4,71,74.676
75,75,4,10,74,74.605
76,76,1,7,64,74.86399999999999
77,77,10,11,45,75.626
78,78,4,5,40,75.92699999999999
79,79,2,3,75,74.582
80,80,1,9,86,74.366
81,81,10,12,77,74.539
82,82,5,13,63,74.89399999999999
83,83,6,8,97,74.194
84,84,5,10,71,74.676
85,85,7,8,46,75.57300000000001
86,86,4,11,78,74.518
87,87,3,13,52,75.289
88,88,8,12,83,74.42
89,89,2,13,100,74.154
90,90,1,11,49,75.423
91,91,2,3,96,74.209
92,92,9,11,79,74.497
93,93,6,7,36,76.218
94,94,8,10,47,75.521
95,95,2,12,96,74.209
96,96,5,8,64,74.86399999999999
97,97,0,3,92,74.268
98,98,9,12,85,74.383
99,99,3,10,31,76.667
