,id,source,destination,data_rates,TR
0,0,5,7,39,75.995
1,1,9,11,62,74.925
2,2,5,6,61,74.957
3,3,3,12,72,74.652
4,4,4,11,39,75.995
5,5,11,13,72,74.652
6,6,4,6,39,75.995
7,7,2,9,38,76.066
8,8,11,13,61,74.957
9,9,12,13,49,75.423
10,10,9,10,97,74.194
11,11,6,11,66,74.807
12,12,5,11,61,74.957
13,13,6,10,51,75.332
14,14,3,7,63,74.89399999999999
15,15,3,4,85,74.383
16,16,1,8,41,75.862
17,17,8,13,31,76.667
18,18,10,11,80,74.477
19,19,10,12,72,74.652
20,20,0,10,59,75.023
21,21,0,6,94,74.238
22,22,1,3,63,74.89399999999999
23,23,4,7,95,74.223
24,24,0,7,65,74.835
25,25,0,1,95,74.223
26,26,0,9,79,74.497
27,27,5,6,79,74.497
28,28,0,6,30,76.771
29,29,5,10,68,74.752
30,30,4,11,59,75.023
31,31,0,7,74,74.605
32,32,1,10,68,74.752
33,33,2,9,45,75.626
34,34,0,12,69,74.726
35,35,6,11,91,74.283
36,36,3,8,30,76.771
37,37,0,2,38,76.066
38,38,5,13,85,74.383
39,39,8,13,31,76.667
40,40,0,13,40,75.92699999999999
41,41,7,11,52,75.289
42,42,1,12,94,74.238
43,43,0,3,73,74.628
44,44,4,7,31,76.667
45,45,10,11,52,75.289
46,46,7,8,43,75.73899999999999
47,47,3,4,49,75.423
48,48,6,9,31,76.667
49,49,3,11,88,74.332
50,50,3,8,84,74.40100000000001
51,51,10,11,81,74.458
52,52,4,11,88,74.332
53,53,7,9,84,74.40100000000001
54,54,6,9,38,76.066
55,55,0,13,57,75.093
56,56,6,7,31,76.667
57,57,2,13,30,76.771
58,58,0,12,30,76.771
59,59,5,9,41,75.862
60,60,3,13,40,75.92699999999999
61,61,0,6,66,74.807
62,62,4,6,59,75.023
63,63,2,6,72,74.652
64,64,8,10,49,75.423
65,65,0,1,72,74.652
66,66,1,7,71,74.676
67,67,8,13,38,76.066
68,68,1,8,35,76.29899999999999
69,69,2,6,32,76.568
70,70,2,9,41,75.862
71,71,7,10,67,74.779
72,72,4,10,89,74.315
73,73,7,12,51,75.332
74,74,0,8,43,75.73899999999999
75,75,1,6,34,76.384
76,76,5,8,97,74.194
77,77,0,6,47,75.521
78,78,6,11,74,74.605
79,79,4,13,44,75.682
80,80,7,10,47,75.521
81,81,1,3,82,74.438
82,82,6,11,41,75.862
83,83,6,12,88,74.332
84,84,8,13,36,76.218
85,85,3,7,99,74.167
86,86,1,6,76,74.56
87,87,2,5,50,75.377
88,88,2,7,91,74.283
89,89,3,8,32,76.568
90,90,2,10,84,74.40100000000001
91,91,5,7,93,74.252
92,92,10,11,73,74.628
93,93,2,4,81,74.458
94,94,1,11,62,74.925
95,95,9,12,83,74.42
96,96,9,13,30,76.771
97,97,2,6,43,75.73899999999999
98,98,0,7,36,76.218
99,99,7,9,41,75.862
