,id,source,destination,data_rates,TR
0,0,7,12,90,74.29899999999999
1,1,1,6,77,74.539
2,2,0,12,67,74.779
3,3,7,12,51,75.332
4,4,5,9,79,74.497
5,5,0,2,57,75.093
6,6,9,10,70,74.70100000000001
7,7,4,5,93,74.252
8,8,4,8,89,74.315
9,9,5,6,93,74.252
10,10,6,13,96,74.209
11,11,8,10,87,74.34899999999999
12,12,2,12,30,76.771
13,13,0,8,30,76.771
14,14,6,10,36,76.218
15,15,2,8,48,75.471
16,16,8,9,31,76.667
17,17,2,11,60,74.98899999999999
18,18,7,13,54,75.207
19,19,1,5,68,74.752
20,20,0,12,95,74.223
21,21,8,13,51,75.332
22,22,0,5,54,75.207
23,23,5,13,91,74.283
24,24,6,10,54,75.207
25,25,3,7,39,75.995
26,26,2,12,66,74.807
27,27,11,13,90,74.29899999999999
28,28,3,4,57,75.093
29,29,3,8,79,74.497
30,30,1,3,74,74.605
31,31,2,7,61,74.957
32,32,2,6,63,74.89399999999999
33,33,9,10,97,74.194
34,34,1,11,35,76.29899999999999
35,35,2,6,49,75.423
36,36,3,5,61,74.957
37,37,6,8,71,74.676
38,38,1,2,92,74.268
39,39,8,12,63,74.89399999999999
40,40,0,8,61,74.957
41,41,3,10,82,74.438
42,42,0,3,63,74.89399999999999
43,43,6,12,91,74.283
44,44,6,7,63,74.89399999999999
45,45,1,8,65,74.835
46,46,5,12,64,74.86399999999999
47,47,4,9,46,75.57300000000001
48,48,8,10,36,76.218
49,49,4,9,34,76.384
50,50,9,11,93,74.252
51,51,3,6,46,75.57300000000001
52,52,2,10,91,74.283
53,53,3,12,80,74.477
54,54,1,12,91,74.283
55,55,9,13,96,74.209
56,56,3,10,39,75.995
57,57,1,12,57,75.093
58,58,3,7,99,74.167
59,59,6,7,75,74.582
60,60,3,4,93,74.252
61,61,1,5,64,74.86399999999999
62,62,8,10,31,76.667
63,63,4,12,74,74.605
64,64,2,11,46,75.57300000000001
65,65,1,9,67,74.779
66,66,1,8,81,74.458
67,67,4,6,73,74.628
68,68,3,7,71,74.676
69,69,6,11,60,74.98899999999999
70,70,0,7,47,75.521
71,71,8,10,60,74.98899999999999
72,72,5,12,30,76.771
73,73,0,13,73,74.628
74,74,8,11,98,74.181
75,75,1,7,36,76.218
76,76,5,6,32,76.568
77,77,4,8,92,74.268
78,78,1,3,47,75.521
79,79,0,1,30,76.771
80,80,7,8,87,74.34899999999999
81,81,6,13,39,75.995
82,82,3,6,92,74.268
83,83,0,6,36,76.218
84,84,4,12,55,75.168
85,85,1,4,72,74.652
86,86,6,10,71,74.676
87,87,4,7,77,74.539
88,88,1,12,76,74.56
89,89,9,12,60,74.98899999999999
90,90,6,12,39,75.995
91,91,8,13,83,74.42
92,92,0,7,47,75.521
93,93,1,5,76,74.56
94,94,6,11,90,74.29899999999999
95,95,6,7,35,76.29899999999999
96,96,7,8,99,74.167
97,97,3,13,32,76.568
98,98,3,6,89,74.315
99,99,5,6,89,74.315
