,id,source,destination,data_rates,TR
0,0,3,5,82,74.438
1,1,0,2,86,74.366
2,2,6,12,53,75.247
3,3,0,6,70,74.70100000000001
4,4,3,7,90,74.29899999999999
5,5,4,8,71,74.676
6,6,5,6,66,74.807
7,7,3,7,90,74.29899999999999
8,8,0,8,78,74.518
9,9,2,3,37,76.14
10,10,0,7,65,74.835
11,11,6,10,31,76.667
12,12,2,9,61,74.957
13,13,5,10,94,74.238
14,14,3,11,33,76.47399999999999
15,15,2,12,97,74.194
16,16,2,7,42,75.79899999999999
17,17,0,10,56,75.13
18,18,2,11,44,75.682
19,19,2,12,36,76.218
20,20,3,11,60,74.98899999999999
21,21,7,10,49,75.423
22,22,5,13,37,76.14
23,23,8,10,65,74.835
24,24,4,5,46,75.57300000000001
25,25,8,10,54,75.207
26,26,3,10,69,74.726
27,27,1,13,68,74.752
28,28,5,8,59,75.023
29,29,4,10,57,75.093
30,30,4,8,57,75.093
31,31,2,13,49,75.423
32,32,3,6,42,75.79899999999999
33,33,0,13,39,75.995
34,34,2,4,31,76.667
35,35,0,1,83,74.42
36,36,9,13,65,74.835
37,37,5,6,81,74.458
38,38,9,10,84,74.40100000000001
39,39,3,6,49,75.423
40,40,3,4,43,75.73899999999999
41,41,4,9,34,76.384
42,42,4,13,60,74.98899999999999
43,43,4,5,79,74.497
44,44,4,12,99,74.167
45,45,0,13,69,74.726
46,46,6,13,33,76.47399999999999
47,47,5,10,71,74.676
48,48,2,9,49,75.423
49,49,2,6,68,74.752
50,50,1,13,61,74.957
51,51,1,2,38,76.066
52,52,2,8,56,75.13
53,53,7,13,84,74.40100000000001
54,54,1,10,95,74.223
55,55,0,7,79,74.497
56,56,3,13,98,74.181
57,57,0,12,38,76.066
58,58,3,4,75,74.582
59,59,0,9,57,75.093
60,60,6,9,69,74.726
61,61,2,9,44,75.682
62,62,4,10,57,75.093
63,63,5,10,54,75.207
64,64,5,10,55,75.168
65,65,6,7,56,75.13
66,66,2,5,38,76.066
67,67,0,8,65,74.835
68,68,5,8,88,74.332
69,69,1,13,54,75.207
70,70,9,10,65,74.835
71,71,2,5,38,76.066
72,72,6,9,70,74.70100000000001
73,73,2,8,66,74.807
74,74,2,11,55,75.168
75,75,4,12,91,74.283
76,76,9,11,54,75.207
77,77,1,13,62,74.925
78,78,10,12,46,75.57300000000001
79,79,6,11,84,74.40100000000001
80,80,0,1,49,75.423
81,81,8,10,67,74.779
82,82,6,7,67,74.779
83,83,4,10,92,74.268
84,84,2,8,96,74.209
85,85,2,8,33,76.47399999999999
86,86,0,8,99,74.167
87,87,3,9,74,74.605
88,88,5,10,35,76.29899999999999
89,89,4,11,45,75.626
90,90,3,4,55,75.168
91,91,10,11,60,74.98899999999999
92,92,2,10,83,74.42
93,93,10,12,95,74.223
94,94,0,3,74,74.605
95,95,3,8,97,74.194
96,96,6,7,83,74.42
97,97,6,7,67,74.779
98,98,4,5,90,74.29899999999999
99,99,5,6,87,74.34899999999999
