,id,source,destination,data_rates,TR
0,0,0,12,67,74.779
1,1,2,11,35,76.29899999999999
2,2,5,12,52,75.289
3,3,2,12,93,74.252
4,4,8,11,89,74.315
5,5,2,4,30,76.771
6,6,0,13,75,74.582
7,7,5,12,87,74.34899999999999
8,8,1,7,47,75.521
9,9,8,12,34,76.384
10,10,6,12,48,75.471
11,11,3,6,37,76.14
12,12,0,1,64,74.86399999999999
13,13,1,2,59,75.023
14,14,1,13,57,75.093
15,15,8,12,92,74.268
16,16,4,13,59,75.023
17,17,2,7,50,75.377
18,18,2,3,33,76.47399999999999
19,19,3,7,45,75.626
20,20,9,11,46,75.57300000000001
21,21,9,13,32,76.568
22,22,3,13,79,74.497
23,23,5,8,30,76.771
24,24,6,9,73,74.628
25,25,0,3,58,75.057
26,26,4,11,47,75.521
27,27,0,5,76,74.56
28,28,3,6,52,75.289
29,29,3,10,37,76.14
30,30,0,3,68,74.752
31,31,0,6,41,75.862
32,32,9,13,92,74.268
33,33,4,7,77,74.539
34,34,2,11,90,74.29899999999999
35,35,2,11,84,74.40100000000001
36,36,1,2,87,74.34899999999999
37,37,1,2,74,74.605
38,38,2,9,80,74.477
39,39,2,8,78,74.518
40,40,7,9,52,75.289
41,41,3,12,67,74.779
42,42,3,10,91,74.283
43,43,0,12,33,76.47399999999999
44,44,8,13,65,74.835
45,45,5,12,60,74.98899999999999
46,46,7,13,94,74.238
47,47,5,10,74,74.605
48,48,11,13,99,74.167
49,49,11,13,71,74.676
50,50,1,11,89,74.315
51,51,5,7,63,74.89399999999999
52,52,6,10,68,74.752
53,53,3,13,42,75.79899999999999
54,54,8,10,75,74.582
55,55,1,6,98,74.181
56,56,0,12,67,74.779
57,57,0,1,64,74.86399999999999
58,58,1,2,86,74.366
59,59,4,7,36,76.218
60,60,4,5,92,74.268
61,61,2,13,30,76.771
62,62,2,6,66,74.807
63,63,0,1,78,74.518
64,64,7,12,70,74.70100000000001
65,65,5,9,63,74.89399999999999
66,66,3,8,52,75.289
67,67,1,11,72,74.652
68,68,7,11,94,74.238
69,69,7,12,78,74.518
70,70,8,10,97,74.194
71,71,3,10,37,76.14
72,72,11,12,66,74.807
73,73,8,9,37,76.14
74,74,0,8,68,74.752
75,75,1,10,78,74.518
76,76,7,12,40,75.92699999999999
77,77,3,4,85,74.383
78,78,3,10,58,75.057
79,79,10,12,93,74.252
80,80,10,13,51,75.332
81,81,6,13,34,76.384
82,82,4,11,45,75.626
83,83,9,12,35,76.29899999999999
84,84,3,13,97,74.194
85,85,1,4,31,76.667
86,86,2,7,38,76.066
87,87,2,4,30,76.771
88,88,4,9,45,75.626
89,89,0,7,30,76.771
90,90,0,7,75,74.582
91,91,1,4,66,74.807
92,92,10,12,47,75.521
93,93,7,11,43,75.73899999999999
94,94,6,8,36,76.218
95,95,11,12,56,75.13
96,96,12,13,30,76.771
97,97,11,13,72,74.652
98,98,1,2,63,74.89399999999999
99,99,10,13,51,75.332
