,id,source,destination,data_rates,TR
0,0,8,13,76,74.56
1,1,4,5,43,75.73899999999999
2,2,2,12,36,76.218
3,3,8,13,95,74.223
4,4,1,11,69,74.726
5,5,1,3,59,75.023
6,6,5,10,37,76.14
7,7,1,12,69,74.726
8,8,1,3,37,76.14
9,9,2,3,46,75.57300000000001
10,10,2,5,39,75.995
11,11,0,1,53,75.247
12,12,1,9,54,75.207
13,13,5,11,95,74.223
14,14,11,13,93,74.252
15,15,1,12,86,74.366
16,16,5,7,35,76.29899999999999
17,17,11,12,59,75.023
18,18,3,12,58,75.057
19,19,2,5,59,75.023
20,20,4,13,99,74.167
21,21,4,8,46,75.57300000000001
22,22,0,12,37,76.14
23,23,4,9,86,74.366
24,24,1,2,33,76.47399999999999
25,25,1,12,98,74.181
26,26,4,7,86,74.366
27,27,7,12,98,74.181
28,28,6,9,84,74.40100000000001
29,29,3,13,73,74.628
30,30,9,10,100,74.154
31,31,10,12,69,74.726
32,32,3,10,65,74.835
33,33,2,4,47,75.521
34,34,9,13,43,75.73899999999999
35,35,3,13,64,74.86399999999999
36,36,8,12,80,74.477
37,37,1,8,100,74.154
38,38,0,11,53,75.247
39,39,0,12,45,75.626
40,40,4,11,54,75.207
41,41,3,10,36,76.218
42,42,2,12,74,74.605
43,43,6,12,56,75.13
44,44,3,9,93,74.252
45,45,6,8,60,74.98899999999999
46,46,9,13,93,74.252
47,47,7,12,45,75.626
48,48,0,4,86,74.366
49,49,10,13,90,74.29899999999999
50,50,8,13,60,74.98899999999999
51,51,5,9,71,74.676
52,52,0,1,36,76.218
53,53,11,12,47,75.521
54,54,2,13,72,74.652
55,55,3,4,66,74.807
56,56,4,5,94,74.238
57,57,4,9,77,74.539
58,58,10,13,65,74.835
59,59,8,10,75,74.582
60,60,3,11,36,76.218
61,61,8,12,32,76.568
62,62,2,13,83,74.42
63,63,0,5,52,75.289
64,64,2,5,34,76.384
65,65,2,7,95,74.223
66,66,3,9,33,76.47399999999999
67,67,3,12,34,76.384
68,68,6,8,70,74.70100000000001
69,69,2,11,61,74.957
70,70,10,11,31,76.667
71,71,1,13,33,76.47399999999999
72,72,6,11,46,75.57300000000001
73,73,9,11,39,75.995
74,74,4,12,74,74.605
75,75,9,11,63,74.89399999999999
76,76,0,6,37,76.14
77,77,4,9,60,74.98899999999999
78,78,0,1,94,74.238
79,79,1,2,70,74.70100000000001
80,80,3,5,81,74.458
81,81,1,10,99,74.167
82,82,4,7,71,74.676
83,83,2,6,65,74.835
84,84,6,8,67,74.779
85,85,4,12,73,74.628
86,86,1,10,84,74.40100000000001
87,87,0,6,72,74.652
88,88,0,1,81,74.458
89,89,1,6,60,74.98899999999999
90,90,3,12,75,74.582
91,91,5,7,42,75.79899999999999
92,92,0,12,92,74.268
93,93,0,13,47,75.521
94,94,2,6,55,75.168
95,95,0,8,51,75.332
96,96,3,5,98,74.181
97,97,2,3,43,75.73899999999999
98,98,5,8,36,76.218
99,99,1,8,79,74.497
