,id,source,destination,data_rates,TR
0,0,3,8,80,74.477
1,1,5,10,100,74.154
2,2,1,4,96,74.209
3,3,4,7,36,76.218
4,4,5,8,97,74.194
5,5,0,2,41,75.862
6,6,3,10,98,74.181
7,7,8,13,72,74.652
8,8,0,11,47,75.521
9,9,3,8,34,76.384
10,10,5,11,51,75.332
11,11,2,4,87,74.34899999999999
12,12,10,12,35,76.29899999999999
13,13,6,7,55,75.168
14,14,1,7,39,75.995
15,15,4,9,41,75.862
16,16,8,13,34,76.384
17,17,4,9,79,74.497
18,18,6,12,36,76.218
19,19,9,10,73,74.628
20,20,8,9,42,75.79899999999999
21,21,0,12,76,74.56
22,22,1,6,65,74.835
23,23,1,2,50,75.377
24,24,0,3,88,74.332
25,25,0,1,88,74.332
26,26,4,13,96,74.209
27,27,5,6,30,76.771
28,28,9,12,75,74.582
29,29,6,10,30,76.771
30,30,2,5,37,76.14
31,31,3,13,37,76.14
32,32,1,12,56,75.13
33,33,6,10,47,75.521
34,34,0,11,54,75.207
35,35,6,11,47,75.521
36,36,7,11,57,75.093
37,37,6,11,59,75.023
38,38,2,8,75,74.582
39,39,4,12,85,74.383
40,40,3,10,49,75.423
41,41,0,8,89,74.315
42,42,7,13,82,74.438
43,43,5,13,88,74.332
44,44,1,13,42,75.79899999999999
45,45,11,12,34,76.384
46,46,1,5,73,74.628
47,47,2,5,79,74.497
48,48,3,5,37,76.14
49,49,1,10,36,76.218
50,50,1,6,72,74.652
51,51,6,8,87,74.34899999999999
52,52,1,5,87,74.34899999999999
53,53,4,6,36,76.218
54,54,2,4,81,74.458
55,55,3,10,94,74.238
56,56,9,13,62,74.925
57,57,1,8,35,76.29899999999999
58,58,0,1,47,75.521
59,59,9,11,81,74.458
60,60,5,12,32,76.568
61,61,4,5,60,74.98899999999999
62,62,4,6,68,74.752
63,63,0,10,97,74.194
64,64,12,13,44,75.682
65,65,2,10,38,76.066
66,66,5,7,75,74.582
67,67,2,13,37,76.14
68,68,0,1,99,74.167
69,69,4,8,47,75.521
70,70,4,5,73,74.628
71,71,1,11,87,74.34899999999999
72,72,0,5,88,74.332
73,73,8,9,64,74.86399999999999
74,74,0,5,84,74.40100000000001
75,75,2,6,94,74.238
76,76,7,9,93,74.252
77,77,11,12,45,75.626
78,78,4,12,68,74.752
79,79,7,8,85,74.383
80,80,6,10,43,75.73899999999999
81,81,5,10,83,74.42
82,82,5,11,63,74.89399999999999
83,83,10,11,71,74.676
84,84,4,7,48,75.471
85,85,3,4,36,76.218
86,86,5,12,51,75.332
87,87,3,8,95,74.223
88,88,0,13,63,74.89399999999999
89,89,3,7,49,75.423
90,90,4,8,84,74.40100000000001
91,91,2,13,84,74.40100000000001
92,92,3,4,31,76.667
93,93,6,12,92,74.268
94,94,4,6,86,74.366
95,95,3,12,53,75.247
96,96,0,9,77,74.539
97,97,1,11,51,75.332
98,98,3,8,96,74.209
99,99,5,9,50,75.377
