,id,source,destination,data_rates,TR
0,0,0,8,54,75.207
1,1,8,9,53,75.247
2,2,2,9,34,76.384
3,3,9,11,35,76.29899999999999
4,4,4,11,65,74.835
5,5,0,5,56,75.13
6,6,1,8,59,75.023
7,7,1,2,73,74.628
8,8,3,5,77,74.539
9,9,8,12,75,74.582
10,10,0,9,54,75.207
11,11,9,13,82,74.438
12,12,10,11,79,74.497
13,13,1,13,71,74.676
14,14,0,4,92,74.268
15,15,3,10,97,74.194
16,16,4,12,91,74.283
17,17,6,10,52,75.289
18,18,2,8,77,74.539
19,19,0,6,94,74.238
20,20,9,10,78,74.518
21,21,7,13,100,74.154
22,22,2,11,65,74.835
23,23,6,13,49,75.423
24,24,3,7,79,74.497
25,25,4,6,100,74.154
26,26,4,9,44,75.682
27,27,1,11,59,75.023
28,28,0,12,41,75.862
29,29,5,6,47,75.521
30,30,5,6,57,75.093
31,31,1,10,54,75.207
32,32,8,11,95,74.223
33,33,0,11,62,74.925
34,34,8,13,67,74.779
35,35,2,13,65,74.835
36,36,2,5,87,74.34899999999999
37,37,6,12,87,74.34899999999999
38,38,1,13,38,76.066
39,39,4,6,73,74.628
40,40,1,9,84,74.40100000000001
41,41,0,6,50,75.377
42,42,7,13,49,75.423
43,43,0,11,63,74.89399999999999
44,44,4,8,56,75.13
45,45,5,7,64,74.86399999999999
46,46,0,1,61,74.957
47,47,1,3,48,75.471
48,48,0,1,40,75.92699999999999
49,49,6,12,48,75.471
50,50,6,8,54,75.207
51,51,2,10,47,75.521
52,52,5,12,31,76.667
53,53,0,9,62,74.925
54,54,7,12,94,74.238
55,55,3,6,76,74.56
56,56,0,10,40,75.92699999999999
57,57,0,9,48,75.471
58,58,0,10,86,74.366
59,59,5,7,81,74.458
60,60,1,7,88,74.332
61,61,3,6,96,74.209
62,62,7,11,43,75.73899999999999
63,63,2,7,67,74.779
64,64,1,13,49,75.423
65,65,7,12,58,75.057
66,66,1,7,47,75.521
67,67,5,10,55,75.168
68,68,4,11,41,75.862
69,69,4,10,30,76.771
70,70,2,6,58,75.057
71,71,1,2,49,75.423
72,72,0,12,42,75.79899999999999
73,73,8,9,71,74.676
74,74,3,11,81,74.458
75,75,1,10,81,74.458
76,76,7,9,66,74.807
77,77,5,13,53,75.247
78,78,1,3,62,74.925
79,79,0,13,51,75.332
80,80,5,11,78,74.518
81,81,5,10,95,74.223
82,82,5,9,50,75.377
83,83,1,5,63,74.89399999999999
84,84,7,12,57,75.093
85,85,5,6,52,75.289
86,86,9,13,58,75.057
87,87,5,11,92,74.268
88,88,1,11,97,74.194
89,89,0,5,30,76.771
90,90,0,4,72,74.652
91,91,6,9,85,74.383
92,92,1,11,75,74.582
93,93,1,2,38,76.066
94,94,0,4,80,74.477
95,95,7,11,36,76.218
96,96,8,9,71,74.676
97,97,1,9,90,74.29899999999999
98,98,6,12,46,75.57300000000001
99,99,2,3,43,75.73899999999999
