,id,source,destination,data_rates,TR
0,0,8,12,85,74.383
1,1,8,13,36,76.218
2,2,2,9,56,75.13
3,3,10,12,84,74.40100000000001
4,4,2,6,44,75.682
5,5,9,13,55,75.168
6,6,1,3,45,75.626
7,7,10,12,30,76.771
8,8,8,12,43,75.73899999999999
9,9,4,5,61,74.957
10,10,0,2,78,74.518
11,11,7,8,63,74.89399999999999
12,12,2,10,39,75.995
13,13,8,10,87,74.34899999999999
14,14,3,7,35,76.29899999999999
15,15,5,6,38,76.066
16,16,2,12,91,74.283
17,17,6,9,78,74.518
18,18,2,6,66,74.807
19,19,10,12,73,74.628
20,20,8,10,89,74.315
21,21,7,8,30,76.771
22,22,2,5,67,74.779
23,23,8,12,57,75.093
24,24,2,12,34,76.384
25,25,7,10,80,74.477
26,26,7,12,85,74.383
27,27,12,13,80,74.477
28,28,0,5,38,76.066
29,29,1,10,52,75.289
30,30,3,7,91,74.283
31,31,8,10,77,74.539
32,32,2,13,46,75.57300000000001
33,33,0,12,32,76.568
34,34,9,12,48,75.471
35,35,1,5,83,74.42
36,36,4,12,60,74.98899999999999
37,37,7,11,97,74.194
38,38,1,12,35,76.29899999999999
39,39,11,13,31,76.667
40,40,3,8,73,74.628
41,41,1,9,45,75.626
42,42,1,5,83,74.42
43,43,6,7,80,74.477
44,44,8,12,58,75.057
45,45,6,13,47,75.521
46,46,1,12,67,74.779
47,47,11,13,86,74.366
48,48,0,5,84,74.40100000000001
49,49,2,9,56,75.13
50,50,5,12,60,74.98899999999999
51,51,0,6,100,74.154
52,52,0,5,93,74.252
53,53,4,10,82,74.438
54,54,5,10,45,75.626
55,55,1,10,34,76.384
56,56,5,8,36,76.218
57,57,4,7,48,75.471
58,58,4,5,40,75.92699999999999
59,59,6,7,55,75.168
60,60,2,12,78,74.518
61,61,5,6,37,76.14
62,62,2,5,92,74.268
63,63,0,9,63,74.89399999999999
64,64,5,11,67,74.779
65,65,0,3,35,76.29899999999999
66,66,2,12,39,75.995
67,67,0,7,32,76.568
68,68,2,4,49,75.423
69,69,1,8,84,74.40100000000001
70,70,6,9,96,74.209
71,71,6,8,31,76.667
72,72,6,9,34,76.384
73,73,2,10,77,74.539
74,74,4,8,69,74.726
75,75,2,10,46,75.57300000000001
76,76,10,11,93,74.252
77,77,3,8,62,74.925
78,78,0,11,72,74.652
79,79,8,11,52,75.289
80,80,0,4,39,75.995
81,81,1,9,95,74.223
82,82,0,13,98,74.181
83,83,2,5,100,74.154
84,84,1,12,45,75.626
85,85,6,10,56,75.13
86,86,5,9,80,74.477
87,87,11,12,32,76.568
88,88,2,8,72,74.652
89,89,3,6,54,75.207
90,90,3,11,61,74.957
91,91,9,11,40,75.92699999999999
92,92,4,11,42,75.79899999999999
93,93,3,6,71,74.676
94,94,3,9,59,75.023
95,95,10,12,51,75.332
96,96,4,12,62,74.925
97,97,2,13,58,75.057
98,98,4,9,93,74.252
99,99,11,13,59,75.023
