id,source,destination,data_rates,TR
0,0,19,69,74.726
1,1,21,83,74.42
2,2,0,55,75.168
3,2,7,87,74.34899999999999
4,2,17,50,75.377
5,3,1,76,74.56
6,3,6,98,74.181
7,3,8,78,74.518
8,3,13,83,74.42
9,3,18,62,74.925
10,3,20,43,75.73899999999999
11,4,17,62,74.925
12,4,18,58,75.057
13,5,7,97,74.194
14,5,12,51,75.332
15,5,17,66,74.807
16,6,0,44,75.682
17,6,1,83,74.42
18,6,4,52,75.289
19,6,5,78,74.518
20,7,9,41,75.862
21,7,19,94,74.238
22,7,21,68,74.752
23,7,23,86,74.366
24,8,0,42,75.79899999999999
25,8,12,41,75.862
26,9,0,92,74.268
27,9,23,88,74.332
28,10,13,98,74.181
29,11,5,77,74.539
30,11,21,97,74.194
31,11,23,64,74.86399999999999
32,12,23,89,74.315
33,13,0,44,75.682
34,13,22,47,75.521
35,14,13,75,74.582
36,16,0,77,74.539
37,16,20,87,74.34899999999999
38,17,6,48,75.471
39,17,12,94,74.238
40,17,21,65,74.835
41,18,8,48,75.471
42,19,9,86,74.366
43,20,16,43,75.73899999999999
44,20,23,77,74.539
45,21,15,87,74.34899999999999
46,22,9,69,74.726
47,23,2,44,75.682
48,23,3,71,74.676
49,23,8,65,74.835
