Inf,1,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,3,Inf,1
1,Inf,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2
Inf,3,Inf,2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,3
Inf,Inf,2,Inf,3,Inf,Inf,Inf,4,Inf,Inf,Inf,Inf,3
Inf,Inf,Inf,3,Inf,2,Inf,2,2,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,2,Inf,2,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,2,Inf,1,Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,2,Inf,1,Inf,2,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,4,2,Inf,Inf,2,Inf,Inf,2,Inf,Inf,3
Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1,1,Inf,2
Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2,1,Inf,Inf,1,Inf
3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1,Inf,Inf,1,Inf
Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1,1,Inf,Inf
1,2,3,3,Inf,Inf,Inf,Inf,3,2,Inf,Inf,Inf,Inf
