,id,source,destination,data_rates,TR
0,0,1,0,84,74.40100000000001
1,1,1,2,83,74.42
2,2,1,4,66,74.807
3,3,1,5,94,74.238
4,4,1,5,56,75.13
5,5,3,0,77,74.539
6,6,3,2,84,74.40100000000001
7,7,3,4,48,75.471
8,8,3,4,70,74.70100000000001
9,9,3,5,73,74.628
10,10,4,0,75,74.582
11,11,4,1,75,74.582
12,12,4,2,68,74.752
13,13,4,5,58,75.057
14,14,5,0,90,74.29899999999999
15,15,5,1,90,74.29899999999999
16,16,5,1,90,74.29899999999999
17,17,5,1,60,74.98899999999999
18,18,5,2,60,74.98899999999999
19,19,5,3,80,74.477
