id,source,destination,data_rates,TR
0,0,10,40,75.92699999999999
1,0,10,85,74.383
2,0,16,98,74.181
3,1,18,42,75.79899999999999
4,2,1,63,74.89399999999999
5,2,23,98,74.181
6,4,7,79,74.497
7,4,8,54,75.207
8,4,11,99,74.167
9,4,16,67,74.779
10,5,12,47,75.521
11,5,17,52,75.289
12,6,11,61,74.957
13,6,16,76,74.56
14,7,8,45,75.626
15,7,13,41,75.862
16,7,14,54,75.207
17,8,6,86,74.366
18,8,14,51,75.332
19,9,0,40,75.92699999999999
20,9,7,44,75.682
21,9,11,80,74.477
22,9,13,54,75.207
23,9,15,58,75.057
24,12,2,51,75.332
25,12,23,42,75.79899999999999
26,13,1,55,75.168
27,13,18,90,74.29899999999999
28,14,0,85,74.383
29,14,3,54,75.207
30,14,5,92,74.268
31,14,6,46,75.57300000000001
32,14,13,89,74.315
33,15,20,85,74.383
34,16,5,70,74.70100000000001
35,16,22,53,75.247
36,16,22,80,74.477
37,17,3,64,74.86399999999999
38,17,13,51,75.332
39,19,7,89,74.315
40,19,18,86,74.366
41,20,8,58,75.057
42,20,9,41,75.862
43,20,11,55,75.168
44,21,0,58,75.057
45,21,22,58,75.057
46,21,22,80,74.477
47,22,4,50,75.377
48,22,14,99,74.167
49,23,15,81,74.458
