id,source,destination,data_rates,TR
0,0,19,45,75.626
1,1,7,91,74.283
2,2,0,62,74.925
3,2,11,42,75.79899999999999
4,2,16,77,74.539
5,2,22,90,74.29899999999999
6,2,22,63,74.89399999999999
7,3,11,80,74.477
8,4,0,64,74.86399999999999
9,4,3,70,74.70100000000001
10,4,11,63,74.89399999999999
11,4,21,89,74.315
12,6,17,45,75.626
13,7,14,52,75.289
14,7,15,65,74.835
15,9,3,93,74.252
16,9,18,58,75.057
17,10,6,55,75.168
18,13,1,50,75.377
19,13,22,99,74.167
20,14,20,63,74.89399999999999
21,15,21,93,74.252
22,15,23,66,74.807
23,16,7,99,74.167
24,16,14,88,74.332
25,17,7,79,74.497
26,17,12,50,75.377
27,17,16,65,74.835
28,18,3,68,74.752
29,19,5,60,74.98899999999999
30,19,10,68,74.752
31,19,17,72,74.652
32,19,20,76,74.56
33,20,17,99,74.167
34,21,7,52,75.289
35,22,5,56,75.13
36,22,14,52,75.289
37,23,12,57,75.093
38,23,16,94,74.238
39,23,22,47,75.521
