id,source,destination,data_rates,TR
0,0,2,79,74.497
1,0,3,57,75.093
2,0,5,59,75.023
3,0,21,79,74.497
4,1,0,61,74.957
5,1,11,41,75.862
6,1,20,96,74.209
7,2,23,40,75.92699999999999
8,5,7,92,74.268
9,5,23,59,75.023
10,6,7,78,74.518
11,6,19,58,75.057
12,7,8,61,74.957
13,7,19,48,75.471
14,8,0,57,75.093
15,8,1,52,75.289
16,8,11,62,74.925
17,8,19,80,74.477
18,9,4,50,75.377
19,9,18,44,75.682
20,10,7,98,74.181
21,10,9,78,74.518
22,10,12,46,75.57300000000001
23,11,6,74,74.605
24,11,8,77,74.539
25,12,5,70,74.70100000000001
26,12,10,72,74.652
27,13,17,83,74.42
28,13,20,89,74.315
29,14,7,80,74.477
30,14,10,68,74.752
31,15,9,50,75.377
32,15,10,99,74.167
33,15,19,84,74.40100000000001
34,16,0,42,75.79899999999999
35,16,3,85,74.383
36,16,11,53,75.247
37,16,14,74,74.605
38,19,4,44,75.682
39,19,9,64,74.86399999999999
40,19,11,82,74.438
41,20,14,71,74.676
42,21,1,53,75.247
43,21,8,96,74.209
44,21,14,74,74.605
45,21,22,63,74.89399999999999
46,23,1,61,74.957
47,23,3,46,75.57300000000001
48,23,6,82,74.438
49,23,12,99,74.167
