id,source,destination,data_rates,TR
0,0,5,66,37.45659545688316
1,0,16,49,37.765379206429685
2,0,21,89,37.2104888985585
3,0,22,83,37.26278013980199
4,0,23,95,37.164242444784634
5,1,15,98,37.1430663713911
6,1,22,83,37.26278013980199
7,2,13,74,37.355444609170476
8,2,21,56,37.618402662930386
9,2,23,58,37.582131622132614
10,3,21,74,37.355444609170476
11,4,14,88,37.218753825231495
12,4,17,45,37.86683286322227
13,5,11,93,37.17905255304339
14,5,20,87,37.227191303872864
15,6,1,53,37.67726176747924
16,6,2,41,37.98495467139333
17,6,10,57,37.59998873008728
18,7,18,52,37.69818875730294
19,8,23,69,37.41621552662307
20,9,18,86,37.23580682328201
21,10,8,46,37.840054368058865
22,10,16,94,37.171575521554416
23,11,1,41,37.98495467139333
24,11,13,74,37.355444609170476
25,12,2,85,37.24460610873838
26,12,17,95,37.164242444784634
27,12,21,96,37.157049187586125
28,13,5,77,37.32239214361373
29,13,12,74,37.355444609170476
30,13,17,49,37.765379206429685
31,15,3,72,37.37884716291769
32,15,14,83,37.26278013980199
33,16,7,54,37.65700972825613
34,16,7,55,37.63740016232012
35,17,13,73,37.36700237599409
36,17,18,88,37.218753825231495
37,19,2,80,37.29157767030629
38,19,14,96,37.157049187586125
39,19,21,79,37.301614770683834
40,20,3,96,37.157049187586125
41,20,10,60,37.54798891034722
42,21,1,45,37.86683286322227
43,21,7,88,37.218753825231495
44,22,1,70,37.40344197197376
45,22,4,52,37.69818875730294
46,22,18,58,37.582131622132614
47,22,23,54,37.65700972825613
48,23,0,62,37.51579094120173
49,23,9,85,37.24460610873838
