id,source,destination,data_rates,TR
0,0,2,54,37.65700972825613
1,0,16,41,37.98495467139333
2,0,17,70,37.40344197197376
3,1,14,68,37.42932324357242
4,1,17,90,37.20239125939691
5,2,11,75,37.34416348834902
6,2,16,89,37.2104888985585
7,3,11,93,37.17905255304339
8,3,17,46,37.840054368058865
9,3,18,99,37.13626930022939
10,6,7,56,37.618402662930386
11,6,18,45,37.86683286322227
12,6,22,50,37.74220895753981
13,7,0,47,37.81425417831495
14,8,9,82,37.27216763919369
15,8,18,46,37.840054368058865
16,11,3,60,37.54798891034722
17,11,8,98,37.1430663713911
18,11,17,69,37.41621552662307
19,11,19,68,37.42932324357242
20,12,13,62,37.51579094120173
21,13,4,47,37.81425417831495
22,13,8,40,38.017589693702504
23,13,21,94,37.171575521554416
24,13,23,43,37.923559769910796
25,14,4,77,37.32239214361373
26,14,23,40,38.017589693702504
27,15,1,80,37.29157767030629
28,15,6,91,37.19445585623754
29,15,17,43,37.923559769910796
30,15,22,48,37.78937895353953
31,15,23,65,37.47078897704576
32,17,3,86,37.23580682328201
33,17,13,61,37.53165746315781
34,17,15,70,37.40344197197376
35,17,21,85,37.24460610873838
36,18,3,82,37.27216763919369
37,18,16,42,37.95363786309809
38,18,17,49,37.765379206429685
39,20,8,88,37.218753825231495
40,20,9,64,37.48537481325325
41,22,4,47,37.81425417831495
42,22,10,40,38.017589693702504
43,22,11,96,37.157049187586125
44,22,16,78,37.31188354017956
45,23,8,72,37.37884716291769
46,23,11,44,37.89464724478612
47,23,19,73,37.36700237599409
48,23,19,65,37.47078897704576
49,23,22,73,37.36700237599409
