id,source,destination,data_rates,TR
0,0,14,73,74.628
1,0,14,46,75.57300000000001
2,1,5,60,74.98899999999999
3,2,9,62,74.925
4,2,16,68,74.752
5,3,6,57,75.093
6,3,6,75,74.582
7,3,16,68,74.752
8,3,17,59,75.023
9,3,23,59,75.023
10,4,21,87,74.34899999999999
11,5,8,92,74.268
12,6,4,54,75.207
13,6,19,95,74.223
14,6,22,99,74.167
15,7,1,98,74.181
16,7,18,54,75.207
17,7,19,98,74.181
18,8,17,72,74.652
19,8,19,57,75.093
20,10,2,50,75.377
21,11,2,94,74.238
22,11,4,94,74.238
23,11,10,49,75.423
24,11,14,63,74.89399999999999
25,12,7,46,75.57300000000001
26,13,10,67,74.779
27,13,12,88,74.332
28,14,3,70,74.70100000000001
29,14,23,51,75.332
30,16,1,44,75.682
31,16,5,72,74.652
32,16,21,67,74.779
33,17,5,42,75.79899999999999
34,17,18,71,74.676
35,17,22,44,75.682
36,18,3,90,74.29899999999999
37,18,5,96,74.209
38,18,11,71,74.676
39,19,3,53,75.247
40,19,6,53,75.247
41,19,7,52,75.289
42,19,14,53,75.247
43,19,15,88,74.332
44,20,12,41,75.862
45,20,14,51,75.332
46,20,14,64,74.86399999999999
47,21,16,92,74.268
48,23,5,68,74.752
49,23,6,49,75.423
