id,source,destination,data_rates,TR
0,0,5,62,37.51579094120173
1,1,8,88,37.218753825231495
2,1,19,74,37.355444609170476
3,1,20,97,37.149991772318295
4,2,4,82,37.27216763919369
5,3,13,55,37.63740016232012
6,3,14,80,37.29157767030629
7,3,15,84,37.2535951349395
8,4,5,40,38.017589693702504
9,4,19,55,37.63740016232012
10,5,8,54,37.65700972825613
11,5,13,46,37.840054368058865
12,6,2,55,37.63740016232012
13,6,5,48,37.78937895353953
14,6,5,53,37.67726176747924
15,6,10,59,37.56480622110088
16,6,15,76,37.333149136404685
17,7,14,71,37.39098987287112
18,7,22,59,37.56480622110088
19,8,1,59,37.56480622110088
20,8,2,45,37.86683286322227
21,9,6,60,37.54798891034722
22,9,8,43,37.923559769910796
23,10,13,44,37.89464724478612
24,10,14,64,37.48537481325325
25,10,21,63,37.500369601818775
26,11,5,62,37.51579094120173
27,11,9,69,37.41621552662307
28,11,10,80,37.29157767030629
29,12,14,94,37.171575521554416
30,12,17,84,37.2535951349395
31,12,18,62,37.51579094120173
32,12,20,86,37.23580682328201
33,12,23,96,37.157049187586125
34,13,0,84,37.2535951349395
35,13,16,94,37.171575521554416
36,13,20,63,37.500369601818775
37,14,1,67,37.442778513285106
38,14,1,95,37.164242444784634
39,14,17,94,37.171575521554416
40,15,20,80,37.29157767030629
41,16,0,48,37.78937895353953
42,16,5,82,37.27216763919369
43,16,19,72,37.37884716291769
44,17,1,95,37.164242444784634
45,18,14,40,38.017589693702504
46,20,3,57,37.59998873008728
47,20,7,93,37.17905255304339
48,21,13,90,37.20239125939691
49,22,17,71,37.39098987287112
