id,source,destination,data_rates,TR
0,0,14,73,37.36700237599409
1,0,14,46,37.840054368058865
2,1,5,60,37.54798891034722
3,2,9,62,37.51579094120173
4,2,16,68,37.42932324357242
5,3,6,57,37.59998873008728
6,3,6,75,37.34416348834902
7,3,16,68,37.42932324357242
8,3,17,59,37.56480622110088
9,3,23,59,37.56480622110088
10,4,21,87,37.227191303872864
11,5,8,92,37.18667783981465
12,6,4,54,37.65700972825613
13,6,19,95,37.164242444784634
14,6,22,99,37.13626930022939
15,7,1,98,37.1430663713911
16,7,18,54,37.65700972825613
17,7,19,98,37.1430663713911
18,8,17,72,37.37884716291769
19,8,19,57,37.59998873008728
20,10,2,50,37.74220895753981
21,11,2,94,37.171575521554416
22,11,4,94,37.171575521554416
23,11,10,49,37.765379206429685
24,11,14,63,37.500369601818775
25,12,7,46,37.840054368058865
26,13,10,67,37.442778513285106
27,13,12,88,37.218753825231495
28,14,3,70,37.40344197197376
29,14,23,51,37.719825426798955
30,16,1,44,37.89464724478612
31,16,5,72,37.37884716291769
32,16,21,67,37.442778513285106
33,17,5,42,37.95363786309809
34,17,18,71,37.39098987287112
35,17,22,44,37.89464724478612
36,18,3,90,37.20239125939691
37,18,5,96,37.157049187586125
38,18,11,71,37.39098987287112
39,19,3,53,37.67726176747924
40,19,6,53,37.67726176747924
41,19,7,52,37.69818875730294
42,19,14,53,37.67726176747924
43,19,15,88,37.218753825231495
44,20,12,41,37.98495467139333
45,20,14,51,37.719825426798955
46,20,14,64,37.48537481325325
47,21,16,92,37.18667783981465
48,23,5,68,37.42932324357242
49,23,6,49,37.765379206429685
