id,source,destination,data_rates,TR
0,0,14,40,38.017589693702504
1,0,15,84,37.2535951349395
2,1,18,51,37.719825426798955
3,2,10,42,37.95363786309809
4,2,13,49,37.765379206429685
5,3,1,72,37.37884716291769
6,3,1,64,37.48537481325325
7,4,11,89,37.2104888985585
8,4,18,91,37.19445585623754
9,5,22,46,37.840054368058865
10,6,1,55,37.63740016232012
11,6,2,46,37.840054368058865
12,6,3,87,37.227191303872864
13,6,4,71,37.39098987287112
14,6,18,56,37.618402662930386
15,7,19,44,37.89464724478612
16,7,23,97,37.149991772318295
17,10,5,41,37.98495467139333
18,10,5,41,37.98495467139333
19,10,9,43,37.923559769910796
20,10,13,92,37.18667783981465
21,10,23,52,37.69818875730294
22,11,1,65,37.47078897704576
23,11,9,77,37.32239214361373
24,11,21,82,37.27216763919369
25,11,22,56,37.618402662930386
26,11,22,56,37.618402662930386
27,12,13,86,37.23580682328201
28,12,18,82,37.27216763919369
29,12,21,57,37.59998873008728
30,13,6,47,37.81425417831495
31,14,10,67,37.442778513285106
32,14,16,86,37.23580682328201
33,14,20,75,37.34416348834902
34,15,7,99,37.13626930022939
35,15,12,80,37.29157767030629
36,15,17,44,37.89464724478612
37,15,18,87,37.227191303872864
38,15,23,81,37.2817644426715
39,16,17,70,37.40344197197376
40,17,9,46,37.840054368058865
41,17,18,56,37.618402662930386
42,18,13,55,37.63740016232012
43,18,21,54,37.65700972825613
44,18,22,54,37.65700972825613
45,20,5,64,37.48537481325325
46,21,22,70,37.40344197197376
47,21,22,84,37.2535951349395
48,22,2,71,37.39098987287112
49,22,11,68,37.42932324357242
