id,source,destination,data_rates,TR
0,0,1,72,74.652
1,1,4,86,74.366
2,2,5,53,75.247
3,2,13,85,74.383
4,3,18,73,74.628
5,4,0,54,75.207
6,5,2,98,74.181
7,5,17,73,74.628
8,6,3,78,74.518
9,6,3,97,74.194
10,6,10,66,74.807
11,6,15,41,75.862
12,7,4,98,74.181
13,7,19,41,75.862
14,9,4,99,74.167
15,10,2,59,75.023
16,10,5,40,75.92699999999999
17,10,18,60,74.98899999999999
18,10,20,93,74.252
19,10,22,70,74.70100000000001
20,11,2,84,74.40100000000001
21,12,8,95,74.223
22,12,9,86,74.366
23,12,14,97,74.194
24,12,20,69,74.726
25,13,10,50,75.377
26,13,20,71,74.676
27,14,1,82,74.438
28,14,2,59,75.023
29,14,13,45,75.626
30,14,15,46,75.57300000000001
31,15,0,50,75.377
32,16,1,80,74.477
33,16,8,72,74.652
34,16,23,86,74.366
35,17,10,78,74.518
36,17,15,44,75.682
37,17,18,86,74.366
38,17,21,88,74.332
39,19,3,93,74.252
40,20,4,88,74.332
41,20,4,49,75.423
42,20,8,73,74.628
43,21,0,83,74.42
44,21,3,77,74.539
45,21,7,53,75.247
46,21,17,99,74.167
47,23,0,77,74.539
48,23,1,72,74.652
49,23,15,74,74.605
