id,source,destination,data_rates,TR
0,0,4,75,74.582
1,0,9,74,74.605
2,0,13,95,74.223
3,0,16,71,74.676
4,0,17,73,74.628
5,0,21,82,74.438
6,0,23,68,74.752
7,1,4,91,74.283
8,1,18,66,74.807
9,1,19,79,74.497
10,1,19,57,75.093
11,1,20,77,74.539
12,1,23,87,74.34899999999999
13,2,9,76,74.56
14,3,1,76,74.56
15,3,21,99,74.167
16,5,0,87,74.34899999999999
17,5,8,59,75.023
18,6,4,80,74.477
19,6,11,51,75.332
20,7,5,75,74.582
21,8,5,53,75.247
22,8,10,93,74.252
23,8,14,53,75.247
24,8,17,82,74.438
25,8,20,65,74.835
26,8,21,72,74.652
27,9,1,85,74.383
28,9,17,56,75.13
29,10,5,53,75.247
30,10,9,79,74.497
31,11,8,82,74.438
32,12,2,41,75.862
33,13,11,96,74.209
34,13,14,74,74.605
35,13,23,67,74.779
36,15,3,64,74.86399999999999
37,15,17,50,75.377
38,17,12,82,74.438
39,17,14,63,74.89399999999999
40,18,9,57,75.093
41,18,16,82,74.438
42,18,17,82,74.438
43,19,7,71,74.676
44,20,0,55,75.168
45,20,2,43,75.73899999999999
46,20,17,59,75.023
47,20,19,79,74.497
48,21,9,90,74.29899999999999
49,23,6,42,75.79899999999999
