id,source,destination,data_rates,TR
0,0,5,66,74.807
1,0,16,49,75.423
2,0,21,89,74.315
3,0,22,83,74.42
4,0,23,95,74.223
5,1,15,98,74.181
6,1,22,83,74.42
7,2,13,74,74.605
8,2,21,56,75.13
9,2,23,58,75.057
10,3,21,74,74.605
11,4,14,88,74.332
12,4,17,45,75.626
13,5,11,93,74.252
14,5,20,87,74.34899999999999
15,6,1,53,75.247
16,6,2,41,75.862
17,6,10,57,75.093
18,7,18,52,75.289
19,8,23,69,74.726
20,9,18,86,74.366
21,10,8,46,75.57300000000001
22,10,16,94,74.238
23,11,1,41,75.862
24,11,13,74,74.605
25,12,2,85,74.383
26,12,17,95,74.223
27,12,21,96,74.209
28,13,5,77,74.539
29,13,12,74,74.605
30,13,17,49,75.423
31,15,3,72,74.652
32,15,14,83,74.42
33,16,7,54,75.207
34,16,7,55,75.168
35,17,13,73,74.628
36,17,18,88,74.332
37,19,2,80,74.477
38,19,14,96,74.209
39,19,21,79,74.497
40,20,3,96,74.209
41,20,10,60,74.98899999999999
42,21,1,45,75.626
43,21,7,88,74.332
44,22,1,70,74.70100000000001
45,22,4,52,75.289
46,22,18,58,75.057
47,22,23,54,75.207
48,23,0,62,74.925
49,23,9,85,74.383
